date,sales,dayofweek,month,lag_1,lag_7,lag_28,rolling_mean_7,rolling_std_7
2016-04-25,38793,0,4,49795.0,38059.0,36041.0,40754.142857142855,6172.205938143745
2016-04-26,35487,1,4,38793.0,37570.0,33857.0,40859.0,6124.8411952202005
2016-04-27,34445,2,4,35487.0,35343.0,32359.0,40561.42857142857,6357.451005372677
2016-04-28,34732,3,4,34445.0,35033.0,34681.0,40433.142857142855,6488.022308545976
2016-04-29,42896,4,4,34732.0,40517.0,45536.0,40390.142857142855,6530.634793764201
2016-04-30,50429,5,4,42896.0,48962.0,52672.0,40730.0,6599.871867443067
2016-05-01,53032,6,5,50429.0,49795.0,56425.0,40939.57142857143,6920.346664176636
2016-05-02,43181,0,5,53032.0,38793.0,40418.0,41402.0,7677.440111564947
2016-05-03,44314,1,5,43181.0,35487.0,39683.0,42028.857142857145,7607.735436789988
2016-05-04,39601,2,5,44314.0,34445.0,39134.0,43289.857142857145,7054.08825737648
2016-05-05,40763,3,5,39601.0,34732.0,38116.0,44026.42857142857,6193.267496702678
2016-05-06,43805,4,5,40763.0,42896.0,43220.0,44888.0,4986.762476797899
2016-05-07,54239,5,5,43805.0,50429.0,56340.0,45017.857142857145,4937.840028074689
2016-05-08,45609,6,5,54239.0,53032.0,53856.0,45562.142857142855,5773.053277327052
2016-05-09,46400,0,5,45609.0,43181.0,42427.0,44501.71428571428,4766.213266814804
2016-05-10,39379,1,5,46400.0,44314.0,39069.0,44961.57142857143,4772.833814312743
2016-05-11,42248,2,5,39379.0,39601.0,35193.0,44256.57142857143,5227.272005458218
2016-05-12,40503,3,5,42248.0,40763.0,37529.0,44634.71428571428,4921.133091551318
2016-05-13,44073,4,5,40503.0,43805.0,41789.0,44597.57142857143,4956.082789769271
2016-05-14,54308,5,5,44073.0,54239.0,48362.0,44635.857142857145,4949.971125456862
2016-05-15,59921,6,5,54308.0,45609.0,51640.0,44645.71428571428,4972.299927742502
2016-05-16,42362,0,5,59921.0,46400.0,38059.0,46690.28571428572,7653.834849587575
2016-05-17,38777,1,5,42362.0,39379.0,37570.0,46113.42857142857,7829.512221016519
2016-05-18,37096,2,5,38777.0,42248.0,35343.0,46027.42857142857,7918.611554583314
2016-05-19,36963,3,5,37096.0,40503.0,35033.0,45291.42857142857,8543.23238704456
2016-05-20,42552,4,5,36963.0,44073.0,40517.0,44785.71428571428,8968.132130201997
2016-05-21,51518,5,5,42552.0,54308.0,48962.0,44568.42857142857,9006.621543011961
2016-05-22,54338,6,5,51518.0,59921.0,49795.0,44169.857142857145,8554.14779368407
